序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
583,2065,东华软件,东华软件股份公司,北京,北京市,72.90亿,6.65亿,11766,2006-08-23,--,,行业应用软件,应用软件开发、计算机信息系统集成、信息技术服务,行业应用软件开发、计算机信息系统集成及相关服务业务。
584,2066,瑞泰科技,瑞泰科技股份有限公司,北京,北京市,21.77亿,4309.52万,2938,2006-08-23,--,,耐火材料,玻璃板块、水泥板块、钢铁业务板块,定形和不定形耐火材料以及各类耐磨材料的研发、生产、销售以及综合服务。
585,2067,景兴纸业,浙江景兴纸业股份有限公司,浙江,嘉兴市,53.60亿,6.92亿,2025,2006-09-15,--,,造纸,原纸、纸箱及纸板、生活用纸,工业包装原纸、纸箱纸板和各类生活用纸的生产和销售。
586,2068,黑猫股份,江西黑猫炭黑股份有限公司,江西,景德镇市,69.47亿,4.94亿,4134,2006-09-15,--,,其他化学制品,炭黑、焦油精制产品、白炭黑,炭黑、焦油精制和白炭黑等产品的生产与销售。
587,2069,ST獐子岛,獐子岛集团股份有限公司,辽宁,大连市,32.06亿,-4.47亿,1973,2006-09-28,--,,海洋渔业,水产养殖、水产加工、水产贸易、冷链物流、旅游服务,从事海珍品种业、海水增养殖业、海洋食品研发与加工、冷链物流、渔业装备等产业。
588,2071,长城退,长城影视股份有限公司,江苏,苏州市,12.45亿,2.19亿,419,2006-10-12,--,,影视,影视行业、广告业、实景娱乐,影视剧的投资、制作、发行，广告营销及实景娱乐
589,2072,*ST凯瑞,凯瑞德控股股份有限公司,湖北,荆门市,7802.09万,-3518.79万,22,2006-10-18,--,,其他互联网服务,互联网、煤炭贸易、租赁服务,从事煤炭贸易业务及租赁业务。
590,2073,软控股份,软控股份有限公司,山东,青岛市,27.34亿,7636.74万,3296,2006-10-18,--,,其他专用机械,橡胶装备系统、合成橡胶材料,橡胶行业应用软件、信息化装备的研发与创新。
591,2074,国轩高科,国轩高科股份有限公司,安徽,合肥市,48.38亿,8.40亿,11410,2006-10-18,--,,电池,动力锂电池、输变电业务,动力锂电池和输配电设备两大业务板块。
592,2075,沙钢股份,江苏沙钢股份有限公司,江苏,苏州市,124.14亿,14.17亿,4229,2006-10-25,--,,普钢,弹簧钢、管坯钢、优质钢、海洋用钢、耐磨钢、汽车及工程机械用钢、钢坯、其他钢材,黑色金属冶炼及压延加工优特钢的生产与销售。
593,2076,*ST雪莱,广东雪莱特光电科技股份有限公司,广东,佛山市,10.26亿,3519.52万,354,2006-10-25,--,,LED,紫外线杀菌灯、LED照明、汽车照明、锂电池生产设备,紫外线杀菌灯、LED照明、汽车照明、锂电池生产设备。
594,2077,大港股份,江苏大港股份有限公司,江苏,镇江市,13.11亿,2725.02万,880,2006-11-16,--,,园区开发,房地产及园区开发、集成电路封装与测试、商贸物流及其他,集成电路、园区服务及房地产尾盘业务。
595,2078,太阳纸业,山东太阳纸业股份有限公司,山东,济宁市,188.94亿,22.50亿,13300,2006-11-16,--,,造纸,浆及纸制品、电及蒸汽,机制纸、纸制品、木浆、纸板的生产和销售。
596,2079,苏州固锝,苏州固锝电子股份有限公司,江苏,苏州市,18.55亿,1.49亿,1742,2006-11-16,--,,半导体分立器件,半导体整流器件二极管、导电银浆,分立器件和集成电路封测。
597,2080,中材科技,中材科技股份有限公司,江苏,南京市,102.68亿,8.11亿,18525,2006-11-20,--,,玻纤,特种纤维复合材料,风电叶片、玻璃纤维及制品、锂电池隔膜的研发、制造及销售。
598,2081,金螳螂,苏州金螳螂建筑装饰股份有限公司,江苏,苏州市,209.96亿,19.27亿,14493,2006-11-20,--,,装修装饰,建筑装饰,是一家以室内装饰为主体，融幕墙、景观、软装、家具、机电设备安装等为一体的综合性专业化装饰集团。
599,2082,万邦德,万邦德医药控股集团股份有限公司,浙江,台州市,146.35亿,1.00亿,1454,2006-11-20,--,,铝,医药制造、专用设备制造及服务、有色金属加工、有色金属贸易、其他,现代中药、化学原料药及化学制剂的研发、生产和销售。
600,2083,孚日股份,孚日集团股份有限公司,山东,潍坊市,48.22亿,4.14亿,13144,2006-11-24,--,,棉纺,毛巾系列产品、装饰布系列产品,毛巾系列产品、床上用品和装饰布艺产品的研发设计、生产供应、营销渠道建设和品牌推广。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
601,2084,海鸥住工,广州海鸥住宅工业股份有限公司,广东,广州市,20.71亿,9683.52万,6020,2006-11-24,--,,卫浴,五金龙头类产品、智能家居类产品、浴缸陶瓷类产品、整装卫浴、定制橱柜、瓷砖,"装配式整装卫浴空间内高档卫生洁具,陶瓷,浴缸,淋浴房,浴室柜,整体橱柜,瓷砖等全品类部品部件的研发,制造和服务，在智能家居领域主要进行智能门户,安防工程的持续布局。"
602,2085,万丰奥威,浙江万丰奥威汽轮股份有限公司,浙江,绍兴市,101.77亿,10.00亿,11360,2006-11-28,--,,汽车零部件,汽车铝合金轮毂、摩托车铝合金轮毂、镁合金压铸产品、涂层加工、金属铸件、冲压零部件,铝合金轮毂、环保达克罗涂覆、轻量化镁合金、模具冲压件业务以及通用飞机制造业务。
603,2086,ST东洋,山东东方海洋科技股份有限公司,山东,烟台市,7.79亿,1.21亿,968,2006-11-28,--,,海洋渔业,进料加工、来料加工、海参、检测费及试剂盒、国内贸易,海水苗种繁育、养殖，水产品加工，生物科技，保税仓储物流以及体外诊断试剂的研发、生产与销售和检测服务。
604,2087,新野纺织,河南新野纺织股份有限公司,河南,南阳市,51.95亿,2.93亿,8525,2006-11-30,--,,棉纺,纺织,从事中高档棉纺织品的生产与销售。
605,2088,鲁阳节能,山东鲁阳节能材料股份有限公司,山东,淄博市,15.96亿,2.14亿,2726,2006-11-30,--,,耐火材料,陶瓷纤维制品、玄武岩产品,陶瓷纤维、可溶纤维、氧化铝纤维、轻质莫来石砖等耐火保温产品的研发、生产、销售、施工业务，玄武岩纤维产品的研发、生产、销售业务。
606,2089,ST新海,新海宜科技集团股份有限公司,江苏,苏州市,16.05亿,-1.63亿,152,2006-11-30,--,,通信传输设备,通信制造业、计算机技术开发、LED,通信产品的研发、生产与销售业务，IDC业务，锂电材料产品的研发、生产与销售业务。
607,2090,金智科技,江苏金智科技股份有限公司,江苏,南京市,23.06亿,1.45亿,1302,2006-12-08,--,,电气自控设备,装置、系统,电力自动化业务、IT业务、电力工程设计与服务业务及新能源投资运营业务。
608,2091,江苏国泰,江苏国泰国际集团股份有限公司,江苏,苏州市,345.49亿,11.40亿,16082,2006-12-08,--,,贸易,纺织服装、玩具、化工产品,供应链服务和化工新能源业务。
609,2092,中泰化学,新疆中泰化学股份有限公司,新疆,乌鲁木齐市,410.59亿,24.53亿,20678,2006-12-08,--,,氯碱,氯碱化工、纺织工业、现代贸易、物流运输,聚氯乙烯树脂、离子膜烧碱的生产和销售;粘胶纤维、纱线的生产和销售。
610,2093,国脉科技,国脉科技股份有限公司,福建,福州市,15.16亿,1.58亿,993,2006-12-15,--,,通信配套服务,物联网和相关服务、教育,物联网技术服务、物联网咨询与设计服务、物联网科学园运营与开发服务、教育服务。
611,2094,青岛金王,青岛金王应用化学股份有限公司,山东,青岛市,46.77亿,4.45亿,2628,2006-12-15,--,,化妆品,化妆品、蜡烛产品、工艺品、大宗商品贸易,新材料蜡烛及工艺制品业务、化妆品业务和供应链业务。
612,2095,生意宝,浙江网盛生意宝股份有限公司,浙江,杭州市,3.62亿,2066.48万,560,2006-12-15,--,,电子商务B2B,网络基础服务、网络信息推广服务、广告发布服、化工贸易服务、展会服务、房租收入、化工贸易,"从事互联网信息服务,电子商务,专业搜索引擎和企业应用软件开发。"
613,2096,南岭民爆,湖南南岭民用爆破器材股份有限公司,湖南,长沙市,26.24亿,2557.94万,5187,2006-12-22,--,,民爆用品,电子雷管、工业炸药、导爆管雷管、工业电雷管、塑料导爆管、工业导爆索,民爆器材、军品的生产、研发与销售，工程爆破服务等业务。
614,2097,山河智能,山河智能装备股份有限公司,湖南,长沙市,39.52亿,2.05亿,5989,2006-12-22,--,,工程机械,工程机械、航空装备与服务、特种装备,锚定工程机械、航空装备与服务、特种装备三大业务领域，为全球客户提供整体解决方案。
615,2098,浔兴股份,福建浔兴拉链科技股份有限公司,福建,泉州市,18.60亿,1.38亿,4329,2006-12-22,--,,服饰辅料,拉链、跨境电商,拉链业务、跨境电商出口业务。
616,2099,海翔药业,浙江海翔药业股份有限公司,浙江,台州市,23.09亿,3.42亿,2899,2006-12-26,--,,化学原料药,抗生素类、降糖类、心血管类、染料、染颜料中间体,特色原料药、制剂的生产和销售以及为国际制药企业提供定制生产、配套研发的服务;环保型活性染料、染料中间体以及颜料中间体的生产和销售。
617,2100,天康生物,天康生物股份有限公司,新疆,乌鲁木齐市,46.30亿,4.04亿,5669,2006-12-26,--,,饲料,生猪屠宰及肉制品销售、生猪、饲料、兽药、农产品加工、牛奶、代养业务,动物疫苗、饲料及饲用植物蛋白的生产及销售，种猪繁育、生猪养殖、屠宰加工及肉制品销售，融资担保业务。
618,2101,广东鸿图,广东鸿图科技股份有限公司,广东,肇庆市,50.03亿,3.44亿,6715,2006-12-29,--,,汽车零部件,汽车类压铸件、通讯设备类压铸件、机电及其他类压铸件、汽车改装、汽车饰件、股权投资,精密铝合金压铸件业务、汽车内外饰件业务、专用车业务。
619,2102,ST冠福,冠福控股股份有限公司,福建,泉州市,97.36亿,2.78亿,960,2006-12-29,--,,医药中间体,医药中间体、塑料原材料、让售材料、租金物业、融资租赁,医药中间体研发、生产、销售业务兼对维生素E研发、生产、销售业务的投资；塑贸电商业务；投资性房地产租赁经营业务；黄金采矿业务。
620,2103,广博股份,广博集团股份有限公司,浙江,宁波市,23.78亿,1.10亿,2451,2007-01-10,--,,文化用品,包装物、本册、办公用品、互联网广告业务、跨境电商,文具的生产制造与销售、互联网广告营销与服务。
序号,股票代码,股票简称,公司名称,省份,城市,主营业务收入(201712),净利润(201712),员工人数,上市日期,招股书,公司财报,行业分类,产品类型,主营业务
621,2104,恒宝股份,恒宝股份有限公司,江苏,镇江市,13.68亿,1.64亿,1193,2007-01-10,--,,通信终端设备,票证类、制卡类、模块类、网络版会员软件、电子智能支付设备、特种物联网业务,高端智能化产品及数字安全解决方案等服务。
622,2105,信隆健康,深圳信隆健康产业发展股份有限公司,广东,深圳市,17.46亿,4300.27万,2948,2007-01-12,--,,自行车,车把、立管、座管、前叉、运动健身器材、康复器材、碟刹,自行车零配件、运动健身康复器材生产及销售
623,2106,莱宝高科,深圳莱宝高科技股份有限公司,广东,深圳市,39.89亿,1.49亿,1689,2007-01-12,--,,显示器件,电子元器件,研发和生产平板显示材料及触控器件。
624,2107,沃华医药,山东沃华医药科技股份有限公司,山东,潍坊市,7.27亿,8079.79万,1356,2007-01-24,--,,中药生产,中成药,"研发,生产,销售为一体的中成药企业。"
625,2108,沧州明珠,沧州明珠塑料股份有限公司,河北,沧州市,35.24亿,5.45亿,2088,2007-01-24,--,,管材,PE管道、BOPA薄膜、锂离子电池隔膜产品,PE燃气、给水管材管件的生产和销售以及BOPA薄膜的生产和销售。
626,2109,兴化股份,陕西兴化化学股份有限公司,陕西,咸阳市,18.94亿,2.06亿,1236,2007-01-26,--,,民爆用品,合成氨(液氨)、甲醇、甲胺、二甲基甲酰胺(DMF),化工产品的生产与销售。
627,2110,三钢闽光,福建三钢闽光股份有限公司,福建,三明市,316.86亿,57.43亿,13635,2007-01-26,--,,普钢,冶金制造,钢铁为主业，辅以配套、延伸等附属产业。
628,2111,威海广泰,威海广泰空港设备股份有限公司,山东,威海市,18.04亿,1.18亿,2226,2007-01-26,--,,其他专用机械,空港设备、消防装备、消防报警,集空港装备、消防装备、军工装备、无人机、移动医疗装备、电力电子装备于一体的智能化高端保障装备制造平台。
629,2112,三变科技,三变科技股份有限公司,浙江,台州市,5.36亿,-1.25亿,675,2007-02-08,--,,其他输变电设备,输配电及控制设备,变压器、电机、电抗器、低压成套电器设备、输变电设备的生产、维修、保养和销售。
630,2113,ST天润,湖南天润数字娱乐文化传媒股份有限公司,湖南,岳阳市,2.06亿,538.69万,297,2007-02-08,--,,游戏,移动游戏的代理运营和推广、优易付计费及互联网广告精准投放、房屋租赁,移动网络游戏的研发及运营、移动游戏的代理运营和推广、从事运营商计费业务、广告精准投放业务和物业租赁等。
631,2114,罗平锌电,云南罗平锌电股份有限公司,云南,曲靖市,16.19亿,5471.23万,1838,2007-02-15,--,,铅锌,有色金属冶炼、发电,水力发电、铅锌矿的开采、选矿、铅锌金属的冶炼及附属产品的提炼。
632,2115,三维通信,三维通信股份有限公司,浙江,杭州市,11.81亿,4568.49万,1120,2007-02-15,--,,通信配套服务,移动通信网络设备及系统解决方案综合服务业务、卫星通信业务、广告业务、自媒体业务、游戏联运、安全专网融合通信设备及解决方案、5G通信基础设施建设及运营服务,通信业务和互联网广告传媒业务。
633,2116,中国海诚,中国海诚工程科技股份有限公司,上海,上海市,41.99亿,2.01亿,4825,2007-02-15,--,,专业工程,承包、设计、监理、咨询,为国内外工程建设提供设计、咨询、监理和总承包服务。
634,2117,东港股份,东港股份有限公司,山东,济南市,14.30亿,2.31亿,1494,2007-03-02,--,,包装印刷,印刷类业务、覆合类业务、技术服务类业务,"印刷类业务,覆合类业务和技术服务类业务。"
635,2118,紫鑫药业,吉林紫鑫药业股份有限公司,吉林,长春市,13.27亿,3.71亿,934,2007-03-02,--,,中药生产,中成药产业、人参产业、工业大麻产业,中成药产业、人参产业、工业大麻产业。
636,2119,康强电子,宁波康强电子股份有限公司,浙江,宁波市,13.04亿,7475.82万,1062,2007-03-02,--,,半导体材料,引线框架产品、电极丝产品、模具及备件、冲床产品,各类半导体封装材料引线框架、键合丝等半导体封装材料的开发、生产、销售。
637,2120,韵达股份,韵达控股股份有限公司,浙江,宁波市,99.86亿,15.87亿,11294,2007-03-06,--,,物流,快递业务、物料销售,综合快递物流业务。
638,2121,科陆电子,深圳市科陆电子科技股份有限公司,广东,深圳市,43.76亿,3.96亿,3217,2007-03-06,--,,电气仪表,智能电网、储能、综合能源管理及服务、物业、金融业务,从事智能电网、新能源及综合能源服务。
639,2122,*ST天马,天马轴承集团股份有限公司,浙江,杭州市,25.38亿,4498.14万,1629,2007-03-28,--,,基础件,轴承、机床、技术服务、图书、纸张,高端装备制造、创投服务与资产管理、互联网信息技术服务及传媒业务。
640,2123,梦网科技,梦网云科技集团股份有限公司,辽宁,鞍山市,25.50亿,2.48亿,1191,2007-03-28,--,,其他互联网服务,移动信息服务、节能大功率电力电子产品,移动互联网运营支撑业务。
